n,fp32_us,fp16_us,speedup,max_rel_error,mean_rel_error,rmse
256,6.477,5.393,1.2009,3.5144e-04,9.0933e-03,4.3586e-05
512,7.441,5.702,1.3048,6.1109e-04,9.7644e-03,3.6797e-05
1024,6.751,6.461,1.0448,4.7714e-04,1.2495e-02,2.8278e-05
2048,6.916,6.773,1.0211,5.3771e-04,1.1704e-02,1.9631e-05
4096,7.165,7.481,0.9578,6.3294e-04,1.5921e-02,2.0573e-05
8192,10.357,8.484,1.2207,6.4168e-04,1.6514e-02,1.6171e-05
16384,10.895,14.948,0.7289,8.3027e-04,1.5961e-02,1.1672e-05
32768,13.759,16.496,0.8340,9.3873e-04,2.3272e-02,9.9710e-06
65536,15.047,13.710,1.0975,7.5279e-04,4.0630e-02,9.2233e-06
131072,24.747,36.249,0.6827,5.4769e-04,7.6200e-02,1.0773e-05
262144,18.048,20.623,0.8752,4.3922e-04,1.5423e-01,1.5030e-05
524288,20.900,26.127,0.8000,7.1198e-04,3.0659e-01,2.1151e-05
1048576,40.865,31.334,1.3042,2.2866e-03,6.1392e-01,3.0172e-05
