n,fp32_us,fp16_us,speedup,max_rel_error,mean_rel_error,rmse
256,5.905,6.700,0.8813,3.3503e-04,9.0933e-03,4.3586e-05
512,7.968,6.097,1.3068,5.6089e-04,9.7644e-03,3.6797e-05
1024,7.311,6.436,1.1359,4.6924e-04,1.2495e-02,2.8278e-05
2048,6.951,7.068,0.9836,5.2669e-04,1.1704e-02,1.9631e-05
4096,6.538,6.763,0.9668,5.1293e-04,1.5921e-02,2.0573e-05
8192,10.941,9.447,1.1581,5.3374e-04,1.6514e-02,1.6171e-05
16384,11.324,14.392,0.7868,6.1174e-04,1.5961e-02,1.1672e-05
32768,14.265,13.320,1.0709,9.2722e-04,2.3272e-02,9.9710e-06
65536,16.482,14.063,1.1720,7.3791e-04,4.0630e-02,9.2233e-06
131072,22.769,33.323,0.6833,4.8306e-04,7.6091e-02,1.0773e-05
262144,27.080,21.004,1.2893,4.3911e-04,1.5211e-01,1.5030e-05
524288,32.017,41.678,0.7682,7.1196e-04,3.0507e-01,2.1151e-05
1048576,40.530,32.872,1.2330,2.2853e-03,6.0952e-01,3.0172e-05
