size,batch,fp32_us,fp16_us,speedup,fp32_gbps,fp16_gbps,fp32_gflops,fp16_gflops
256,1,9.58,9.12,1.0499,0.43,0.22,1.07,1.12
256,4,9.82,9.30,1.0563,1.67,0.88,4.17,4.40
256,16,9.19,8.65,1.0621,7.13,3.79,17.83,18.93
256,64,9.83,9.93,0.9902,26.66,13.20,66.65,66.00
256,256,10.09,10.32,0.9774,103.93,50.79,259.83,253.97
512,1,9.74,8.82,1.1039,0.84,0.46,2.37,2.61
512,4,10.05,8.71,1.1537,3.26,1.88,9.17,10.58
512,16,9.01,8.74,1.0309,14.55,7.50,40.93,42.20
512,64,9.23,9.50,0.9719,56.81,27.61,159.77,155.28
512,256,10.30,9.26,1.1122,203.63,113.24,572.70,636.96
1024,1,9.73,8.61,1.1299,1.68,0.95,5.26,5.94
1024,4,9.24,8.88,1.0405,7.09,3.69,22.15,23.05
1024,16,9.39,7.93,1.1843,27.90,16.52,87.20,103.26
1024,64,10.87,7.61,1.4287,96.48,68.92,301.51,430.76
1024,256,9.83,7.66,1.2827,426.81,273.74,1333.79,1710.90
2048,1,9.19,8.22,1.1171,3.57,1.99,12.26,13.70
2048,4,9.46,7.95,1.1901,13.86,8.25,47.64,56.70
2048,16,9.82,8.42,1.1663,53.40,31.14,183.55,214.07
2048,64,12.72,7.77,1.6386,164.82,135.04,566.56,928.39
2048,256,10.51,9.71,1.0827,797.93,431.96,2742.87,2969.71
4096,1,10.32,9.94,1.0385,6.35,3.30,23.81,24.73
4096,4,10.22,8.79,1.1631,25.65,14.92,96.20,111.89
4096,16,9.75,8.62,1.1317,107.54,60.85,403.26,456.38
4096,64,10.08,9.64,1.0457,415.90,217.46,1559.61,1630.92
4096,256,15.44,9.20,1.6769,1086.89,911.31,4075.83,6834.82
8192,1,10.18,8.70,1.1711,12.87,7.54,52.29,61.23
8192,4,9.46,10.13,0.9331,55.45,25.87,225.25,210.18
8192,16,10.13,10.34,0.9801,207.00,101.44,840.95,824.19
8192,64,16.26,15.37,1.0579,516.06,272.96,2096.51,2217.80
8192,256,28.15,29.63,0.9501,1191.94,566.20,4842.27,4600.41
16384,1,13.86,15.97,0.8677,18.92,8.21,82.78,71.83
16384,4,18.18,13.93,1.3053,57.67,37.64,252.30,329.33
16384,16,16.06,15.80,1.0167,261.20,132.77,1142.74,1161.77
16384,64,26.83,22.46,1.1944,625.27,373.41,2735.55,3267.32
16384,256,118.59,99.55,1.1914,565.87,337.08,2475.66,2949.43
32768,1,15.10,16.78,0.8998,34.73,15.62,162.78,146.47
32768,4,15.94,13.98,1.1402,131.55,74.99,616.64,703.08
32768,16,19.67,17.77,1.1069,426.51,236.05,1999.27,2212.93
32768,64,77.84,35.28,2.2066,431.05,475.57,2020.56,4458.48
32768,256,485.24,237.72,2.0413,276.60,282.31,1296.57,2646.63
65536,1,16.07,13.93,1.1536,65.23,37.63,326.17,376.27
65536,4,19.58,25.66,0.7630,214.22,81.73,1071.12,817.32
65536,16,43.00,36.09,1.1914,390.16,232.42,1950.79,2324.23
65536,64,233.08,107.21,2.1740,287.93,312.97,1439.63,3129.73
65536,256,966.36,524.56,1.8422,277.78,255.87,1388.89,2558.68
131072,1,18.21,19.70,0.9248,115.14,53.24,611.68,565.65
131072,4,22.91,24.03,0.9537,366.09,174.57,1944.86,1854.84
131072,16,85.13,58.71,1.4502,394.13,285.78,2093.83,3036.40
131072,64,484.16,442.26,1.0947,277.22,151.74,1472.71,1612.24
131072,256,2392.04,1783.96,1.3409,224.44,150.47,1192.34,1598.76
262144,1,29.68,23.77,1.2488,141.30,88.23,794.83,992.59
262144,4,36.28,37.50,0.9674,462.41,223.67,2601.06,2516.25
262144,16,298.68,115.60,2.5838,224.68,290.27,1263.85,3265.49
262144,64,1428.54,1086.55,1.3147,187.91,123.53,1056.98,1389.67
262144,256,5812.16,3615.18,1.6077,184.74,148.50,1039.17,1670.68
524288,1,24.42,25.58,0.9546,343.57,163.99,2039.95,1947.35
524288,4,103.00,57.56,1.7893,325.77,291.46,1934.29,3461.07
524288,16,595.02,441.35,1.3482,225.57,152.05,1339.31,1805.64
524288,64,2396.81,2117.92,1.1317,223.99,126.74,1329.96,1505.10
524288,256,10814.83,8658.64,1.2490,198.57,124.01,1179.00,1472.60
1048576,1,37.73,36.01,1.0476,444.68,232.93,2779.23,2911.58
1048576,4,370.17,133.39,2.7750,181.29,251.54,1133.07,3144.30
1048576,16,1515.97,1083.61,1.3990,177.07,123.86,1106.69,1548.27
1048576,64,5696.47,3577.68,1.5922,188.49,150.06,1178.08,1875.77
1048576,256,1652972.12,18911.74,87.4045,2.60,113.55,16.24,1419.41
