N,signal,naive_fp8_snr_db,bfp_snr_db,gain_db
16,random_uniform,21.91,23.75,1.84
16,random_normal,19.00,21.22,2.22
16,chirp,27.02,31.08,4.06
32,random_uniform,17.97,22.02,4.06
32,random_normal,18.19,23.83,5.63
32,chirp,20.04,29.47,9.43
64,random_uniform,16.38,21.28,4.90
64,random_normal,16.04,23.46,7.42
64,chirp,19.87,29.04,9.17
128,random_uniform,11.13,20.86,9.73
128,random_normal,9.10,21.74,12.65
128,chirp,11.94,26.36,14.42
256,random_uniform,-0.40,20.58,20.98
256,random_normal,-0.93,20.90,21.83
256,chirp,-0.60,28.87,29.47
512,random_uniform,-3.78,20.10,23.88
512,random_normal,-4.20,21.22,25.42
512,chirp,-3.72,24.94,28.66
1024,random_uniform,-0.00,20.39,20.39
1024,random_normal,-1.20,20.44,21.64
1024,chirp,-0.19,28.30,28.49
2048,random_uniform,-0.00,19.64,19.64
2048,random_normal,-0.00,19.96,19.96
2048,chirp,-0.00,24.54,24.54
4096,random_uniform,-0.00,19.56,19.56
4096,random_normal,-0.00,19.67,19.67
4096,chirp,-0.00,26.90,26.90
