N,batch,bfp_us,fp16_us,fp32_us,bfp_vs_fp16,bfp_gflops,fp16_gflops,fp32_gflops
256,1,111.52,16.30,34.27,0.1462,0.09,0.63,0.30
256,16,111.52,1.40,1.21,0.0126,0.09,7.29,8.46
256,64,111.52,0.14,0.15,0.0013,0.09,71.49,66.92
256,256,111.52,0.03,0.05,0.0003,0.09,328.26,187.23
512,1,126.50,13.08,15.13,0.1034,0.18,1.76,1.52
512,16,126.50,0.67,1.55,0.0053,0.18,34.63,14.88
512,64,126.50,0.13,0.27,0.0010,0.18,180.47,83.99
512,256,126.50,0.07,0.13,0.0006,0.18,321.41,183.17
1024,1,137.09,16.75,12.41,0.1222,0.37,3.06,4.13
1024,16,137.09,0.62,0.80,0.0045,0.37,82.74,64.24
1024,64,137.09,0.13,0.17,0.0010,0.37,382.53,300.18
1024,256,137.09,0.03,0.04,0.0002,0.37,1517.93,1176.79
2048,1,143.74,8.22,17.85,0.0572,0.78,13.71,6.31
2048,16,143.74,0.98,0.95,0.0068,0.78,115.29,118.76
2048,64,143.74,0.16,0.16,0.0011,0.78,705.67,711.58
2048,256,143.74,0.04,0.05,0.0003,0.78,2907.48,2122.33
4096,1,154.85,9.43,10.31,0.0609,1.59,26.07,23.85
4096,16,154.85,0.55,0.65,0.0035,1.59,450.08,379.27
4096,64,154.85,0.17,0.25,0.0011,1.59,1460.48,1000.76
4096,256,154.85,0.04,0.08,0.0002,1.59,6692.83,2905.96
