N,signal,sqnr_mean,sqnr_std,trials
256,uniform,53.09142325535663,0.30753082704741996,100
512,uniform,53.04311330990603,0.188569699016519,100
1024,uniform,53.05873254594062,0.14825842870691283,100
2048,uniform,53.09057448767714,0.09862910084712925,100
4096,uniform,53.068267514999796,0.06697343306737216,100
256,normal,54.47243620454331,0.30457718627152564,100
512,normal,54.44418110042905,0.1918385162175381,100
1024,normal,54.39742759902449,0.1529784899957353,100
2048,normal,54.38046452612224,0.1145670661170601,100
4096,normal,54.41696148008101,0.07550026799336423,100
256,multitone,53.47703520128743,0.771714004146008,100
512,multitone,53.43033634823768,0.823830447204394,100
1024,multitone,53.40056756393648,0.7855927736220117,100
2048,multitone,53.515912139651,0.8165200942585326,100
4096,multitone,53.41010244780593,0.767045591439562,100
256,impulse,424.0823996531185,0.0,100
512,impulse,427.09269960975826,5.684341886080802e-14,100
1024,impulse,430.10299956639824,1.1368683772161603e-13,100
2048,impulse,433.1132995230379,5.684341886080802e-14,100
4096,impulse,436.12359947967803,2.8421709430404007e-13,100
