N,signal,sqnr_mean,sqnr_std,trials
256,uniform,22.113809021223716,0.3136176263681073,100
512,uniform,21.60652962194921,0.21575049556198306,100
1024,uniform,21.167543846759404,0.15676364723167932,100
2048,uniform,20.812160116698006,0.113339017676649,100
4096,uniform,20.4448456210163,0.07319152725332435,100
256,normal,22.457638155276143,0.30636951999700834,100
512,normal,21.95297659814224,0.2321473746395536,100
1024,normal,21.452937105372584,0.13931029298557615,100
2048,normal,21.048618699269593,0.1113716138891663,100
4096,normal,20.678150355182325,0.08074571024728884,100
256,multitone,23.36704996062657,0.774519292654819,100
512,multitone,22.87106797732723,0.6241276908126274,100
1024,multitone,22.44973626367325,0.5715856346489087,100
2048,multitone,22.107483632374343,0.48858996853465136,100
4096,multitone,21.923583920784345,0.3768629172355644,100
256,impulse,424.0823996531185,0.0,100
512,impulse,427.09269960975826,5.684341886080802e-14,100
1024,impulse,430.10299956639824,1.1368683772161603e-13,100
2048,impulse,433.1132995230379,5.684341886080802e-14,100
4096,impulse,436.12359947967803,2.8421709430404007e-13,100
