trial,signal_type,precision,raw_sqnr_db,aligned_sqnr_db,alpha_real,alpha_imag
0,impulse,fp16,430.1029995663981,430.1029995663981,1.0,0.0
1,impulse,fp16,430.1029995663981,430.1029995663981,1.0,0.0
2,impulse,fp16,430.1029995663981,430.1029995663981,1.0,0.0
3,impulse,fp16,430.1029995663981,430.1029995663981,1.0,0.0
4,impulse,fp16,430.1029995663981,430.1029995663981,1.0,0.0
5,impulse,fp16,430.1029995663981,430.1029995663981,1.0,0.0
6,impulse,fp16,430.1029995663981,430.1029995663981,1.0,0.0
7,impulse,fp16,430.1029995663981,430.1029995663981,1.0,0.0
8,impulse,fp16,430.1029995663981,430.1029995663981,1.0,0.0
9,impulse,fp16,430.1029995663981,430.1029995663981,1.0,0.0
10,impulse,fp16,430.1029995663981,430.1029995663981,1.0,0.0
11,impulse,fp16,430.1029995663981,430.1029995663981,1.0,0.0
12,impulse,fp16,430.1029995663981,430.1029995663981,1.0,0.0
13,impulse,fp16,430.1029995663981,430.1029995663981,1.0,0.0
14,impulse,fp16,430.1029995663981,430.1029995663981,1.0,0.0
15,impulse,fp16,430.1029995663981,430.1029995663981,1.0,0.0
16,impulse,fp16,430.1029995663981,430.1029995663981,1.0,0.0
17,impulse,fp16,430.1029995663981,430.1029995663981,1.0,0.0
18,impulse,fp16,430.1029995663981,430.1029995663981,1.0,0.0
19,impulse,fp16,430.1029995663981,430.1029995663981,1.0,0.0
20,impulse,fp16,430.1029995663981,430.1029995663981,1.0,0.0
21,impulse,fp16,430.1029995663981,430.1029995663981,1.0,0.0
22,impulse,fp16,430.1029995663981,430.1029995663981,1.0,0.0
23,impulse,fp16,430.1029995663981,430.1029995663981,1.0,0.0
24,impulse,fp16,430.1029995663981,430.1029995663981,1.0,0.0
25,impulse,fp16,430.1029995663981,430.1029995663981,1.0,0.0
26,impulse,fp16,430.1029995663981,430.1029995663981,1.0,0.0
27,impulse,fp16,430.1029995663981,430.1029995663981,1.0,0.0
28,impulse,fp16,430.1029995663981,430.1029995663981,1.0,0.0
29,impulse,fp16,430.1029995663981,430.1029995663981,1.0,0.0
30,impulse,fp16,430.1029995663981,430.1029995663981,1.0,0.0
