trial,signal_type,precision,raw_sqnr_db,aligned_sqnr_db,alpha_real,alpha_imag
0,uniform,fp32,134.5874894624473,135.23886286415288,1.0000000691736752,7.631069994565273e-09
1,uniform,fp32,134.63862247603365,135.3288643652016,1.0000000709323038,-4.324958173443203e-09
2,uniform,fp32,134.37029319881273,135.0568640841907,1.000000073054275,2.942815170582013e-09
3,uniform,fp32,134.1177913821703,134.8373474450591,1.0000000768546053,3.0429554713658864e-09
4,uniform,fp32,134.97411234657554,135.65991181098352,1.0000000679665888,5.238067446572743e-09
5,uniform,fp32,134.76679361192916,135.37267480413158,1.0000000658450272,3.058409473766989e-09
6,uniform,fp32,134.6973940451574,135.40848900999876,1.0000000715121533,2.601851428191734e-09
7,uniform,fp32,134.95016819480517,135.63448459651454,1.0000000682862673,-4.914870560713108e-10
8,uniform,fp32,134.72262679541743,135.43144803642403,1.00000007117783,3.1340480237776435e-09
9,uniform,fp32,134.7777836912667,135.2548083637352,1.0000000588365352,-6.381837076558637e-10
10,uniform,fp32,134.42398339455343,135.29943470647385,1.0000000810646144,4.52194361807944e-09
11,uniform,fp32,134.82085008733495,135.47664002206508,1.0000000679397116,1.697769860232571e-09
12,uniform,fp32,134.8694852996472,135.43562842457985,1.0000000631006132,-1.0774365517555416e-09
13,uniform,fp32,134.55632769020247,135.36161122849586,1.0000000769168635,-3.3974208569301373e-09
14,uniform,fp32,134.50058482096773,135.38174591087224,1.000000080686256,2.1213039496996566e-09
15,uniform,fp32,135.08268916302157,135.6878417458806,1.0000000632881807,5.493701755406395e-09
16,uniform,fp32,134.6838166454245,135.202317379077,1.000000061810583,2.638498989370897e-09
17,uniform,fp32,134.6458132418953,135.25705687701668,1.0000000671110958,-7.643212707716778e-10
18,uniform,fp32,134.6020251267874,135.32036722918565,1.0000000725824,3.9119978733765475e-09
19,uniform,fp32,134.68987562804097,135.23458935573734,1.0000000632676964,8.662240167905673e-10
20,uniform,fp32,134.78881858359608,135.4366018139488,1.0000000676533365,4.819596305851456e-09
21,uniform,fp32,134.71985170287587,135.35473460793725,1.0000000675868264,4.407039247665928e-09
22,uniform,fp32,134.67651980741448,135.41893241492497,1.0000000731431797,1.8222801122245007e-09
23,uniform,fp32,134.7579869839883,135.43856162751626,1.0000000696392641,-1.77969281539289e-11
24,uniform,fp32,135.01720461355623,135.83995131783436,1.0000000737132828,1.5085131498530906e-09
25,uniform,fp32,134.58245718335286,135.26642769677855,1.000000071201388,1.8104548874169052e-09
26,uniform,fp32,134.77033052275806,135.30159580951204,1.0000000618770972,3.1747510981316215e-09
27,uniform,fp32,134.64264375613106,135.4100340023351,1.0000000743154747,6.191877359839156e-09
28,uniform,fp32,134.81902636720056,135.49932725199085,1.0000000691297133,-1.117757416448908e-09
29,uniform,fp32,134.7082153957188,135.38416373978117,1.000000069805476,1.3795497787370574e-09
30,uniform,fp32,134.65817670673096,135.33035882406182,1.0000000699847973,2.8146775495849668e-09
31,uniform,fp32,134.641873553761,135.41754968379126,1.0000000749384819,1.0927489299507503e-09
32,uniform,fp32,134.47093290067252,135.3225089466945,1.0000000797453028,-8.759921498861412e-10
33,uniform,fp32,134.52398525658882,135.13262100348607,1.0000000679249117,6.524584752146637e-10
34,uniform,fp32,135.15750843841155,135.76759265155107,1.0000000631737687,2.4144986302268867e-09
35,uniform,fp32,134.4702919896387,135.2114183449907,1.0000000748641813,1.2353110077574774e-10
36,uniform,fp32,134.7039818154221,135.36054358493666,1.0000000688873072,-2.0915036978176763e-09
37,uniform,fp32,134.49132608248698,135.17861926060056,1.0000000720927231,2.521052372082909e-09
