N,method,signal,sqnr_db,sqnr_std,sqnr_min,sqnr_max
256,GPU HW FP8,chirp+tone avg,9.3,,,
256,Python FP8 sim,random_uniform,-0.12752864271021136,0.3852422053146478,-0.9764597566065165,0.8954019780705427
256,Python FP8 sim,random_normal,-0.7538523908919429,0.357157766753703,-1.5708974388887122,0.09630545028588985
256,Python FP8 sim,multitone,-0.6951567845464389,1.6333472291194457,-3.6691942753071234,3.6094426664504558
256,Python FP8 sim,chirp,-0.5959458722211542,0.0,-0.5959458722211542,-0.5959458722211542
512,Python FP8 sim,random_uniform,-3.9417643052364775,0.204553998104156,-4.515020958967026,-3.386259335808538
512,Python FP8 sim,random_normal,-4.110085589296772,0.24433791427992382,-4.493906123883345,-3.5340513508828977
512,Python FP8 sim,multitone,-4.246602601474435,0.7350285836937933,-5.396687124055019,-2.218845165460654
512,Python FP8 sim,chirp,-3.7225869305467696,4.440892098500626e-16,-3.722586930546769,-3.722586930546769
1024,Python FP8 sim,random_uniform,-6.5092103992346935e-15,2.4108186663832213e-16,-6.750292265873015e-15,-6.268128532596371e-15
1024,Python FP8 sim,random_normal,-0.9519791586373294,0.4232854535682839,-1.8972641700864556,-1.9768713064342432e-14
1024,Python FP8 sim,multitone,-1.9566204296366236e-14,8.466883021710369e-16,-2.121520426417237e-14,-1.7840058131235845e-14
1024,Python FP8 sim,chirp,-0.1928671499064566,0.0,-0.1928671499064566,-0.1928671499064566
